mode,accuracy,precision,recall,f1,cumulative_transfer_cost
full_transfer,0.9153439153439153,0.8795180722891566,0.9240506329113924,0.9012345679012346,1062
local_only,0.9126984126984127,0.8892414860681115,0.9050632911392404,0.8963808025177027,0
output_layer_only,0.9126984126984127,0.8885281385281385,0.9050632911392404,0.896295422369042,102
